Job Role,Skill,Weight
machine learning,ml,15
machine learning,deep learning,15
machine learning,neural networks,15
machine learning,tensorflow,15
machine learning,pytorch,15
machine learning,scikit-learn,15
machine learning,natural language processing,15
machine learning,computer vision,15
machine learning,reinforcement learning,15
machine learning,generative models,15
machine learning,time series analysis,15
machine learning,explainable ai (xai),15
machine learning,automl,15
machine learning,federated learning,15
machine learning,ai ethics,15
data analysis,data analytics,16
data analysis,data mining,16
data analysis,data visualization,16
data analysis,statistical analysis,16
data analysis,excel,16
data analysis,power bi,16
data analysis,tableau,16
data analysis,sql,16
data analysis,r,16
data analysis,"python (pandas, numpy, scipy, matplotlib, seaborn)",16
data analysis,etl,16
data analysis,data warehousing,16
data analysis,business intelligence (bi),16
data analysis,looker,16
data analysis,data storytelling,16
data analysis,snowflake,16
cloud computing,aws,17
cloud computing,azure,17
cloud computing,gcp,17
cloud computing,cloud services,17
cloud computing,cloud architecture,17
cloud computing,docker,17
cloud computing,kubernetes,17
cloud computing,serverless,17
cloud computing,cloud security,17
cloud computing,iaas,17
cloud computing,paas,17
cloud computing,saas,17
cloud computing,cloud migration,17
cloud computing,devops on cloud,17
cloud computing,multi-cloud,17
cloud computing,edge computing,17
cloud computing,cloud cost optimization,17
web development,frontend,20
web development,backend,20
web development,full-stack,20
web development,html,20
web development,css,20
web development,javascript,20
web development,react,20
web development,angular,20
web development,vue.js,20
web development,node.js,20
web development,"python (django, flask)",20
web development,ruby on rails,20
web development,php,20
web development,restful apis,20
web development,graphql,20
web development,responsive design,20
web development,web security,20
web development,typescript,20
web development,next.js,20
web development,web accessibility,20
mobile development,ios,13
mobile development,android,13
mobile development,react native,13
mobile development,flutter,13
mobile development,swift,13
mobile development,kotlin,13
mobile development,mobile apps,13
mobile development,mobile ui/ux,13
mobile development,mobile testing,13
mobile development,cross-platform development,13
mobile development,maui,13
mobile development,mobile security,13
mobile development,app store optimization,13
software development,programming,17
software development,coding,17
software development,algorithms,17
software development,data structures,17
software development,software engineering,17
software development,testing,17
software development,debugging,17
software development,agile,17
software development,scrum,17
software development,waterfall,17
software development,version control (git),17
software development,software architecture,17
software development,object-oriented programming (oop),17
software development,functional programming,17
software development,clean code,17
software development,microservices,17
software development,tdd (test-driven development),17
cybersecurity,information security,13
cybersecurity,network security,13
cybersecurity,penetration testing,13
cybersecurity,vulnerability assessment,13
cybersecurity,security analysis,13
cybersecurity,cyber threats,13
cybersecurity,ethical hacking,13
cybersecurity,incident response,13
cybersecurity,security auditing,13
cybersecurity,cryptography,13
cybersecurity,zero trust,13
cybersecurity,soc (security operations center),13
cybersecurity,threat hunting,13
database management,databases,14
database management,sql,14
database management,nosql,14
database management,mysql,14
database management,postgresql,14
database management,mongodb,14
database management,database design,14
database management,data modeling,14
database management,database administration,14
database management,data migration,14
database management,database security,14
database management,redis,14
database management,dynamodb,14
database management,database performance tuning,14
project management,project planning,13
project management,project execution,13
project management,risk management,13
project management,stakeholder management,13
project management,agile,13
project management,scrum,13
project management,pmp,13
project management,project coordination,13
project management,critical path method (cpm),13
project management,earned value management (evm),13
project management,kanban,13
project management,jira,13
project management,hybrid project management,13
business analysis,requirements gathering,12
business analysis,process modeling,12
business analysis,business intelligence,12
business analysis,stakeholder analysis,12
business analysis,functional analysis,12
business analysis,business process improvement,12
business analysis,use case analysis,12
business analysis,gap analysis,12
